USD,DATE
3.519,30/12/2022
3.531,29/12/2022
3.524,28/12/2022
3.512,27/12/2022
3.493,23/12/2022
3.477,22/12/2022
3.477,21/12/2022
3.469,20/12/2022
3.441,19/12/2022
3.451,16/12/2022
3.425,15/12/2022
3.41,14/12/2022
3.433,13/12/2022
3.428,12/12/2022
3.42,09/12/2022
3.441,08/12/2022
3.445,07/12/2022
3.408,06/12/2022
3.386,05/12/2022
3.379,02/12/2022
3.414,01/12/2022
3.441,30/11/2022
3.431,29/11/2022
3.438,28/11/2022
3.419,25/11/2022
3.42,24/11/2022
3.453,23/11/2022
3.475,22/11/2022
3.464,21/11/2022
3.477,18/11/2022
3.457,17/11/2022
3.421,16/11/2022
3.435,15/11/2022
3.438,14/11/2022
3.451,11/11/2022
3.563,10/11/2022
3.543,09/11/2022
3.532,08/11/2022
3.54,07/11/2022
3.564,04/11/2022
3.569,03/11/2022
3.54,02/11/2022
3.53,31/10/2022
3.544,28/10/2022
3.525,27/10/2022
3.501,26/10/2022
3.559,25/10/2022
3.557,24/10/2022
3.56,21/10/2022
3.551,20/10/2022
3.541,19/10/2022
3.533,18/10/2022
3.547,14/10/2022
3.576,13/10/2022
3.565,12/10/2022
3.58,11/10/2022
3.525,07/10/2022
3.538,06/10/2022
3.583,03/10/2022
3.543,30/09/2022
3.536,29/09/2022
3.536,28/09/2022
3.489,23/09/2022
3.474,22/09/2022
3.464,21/09/2022
3.439,20/09/2022
3.449,19/09/2022
3.444,16/09/2022
3.442,15/09/2022
3.436,14/09/2022
3.354,13/09/2022
3.392,12/09/2022
3.417,09/09/2022
3.425,08/09/2022
3.434,07/09/2022
3.416,06/09/2022
3.415,05/09/2022
3.375,02/09/2022
3.364,01/09/2022
3.341,31/08/2022
3.305,30/08/2022
3.319,29/08/2022
3.259,26/08/2022
3.287,25/08/2022
3.278,24/08/2022
3.281,23/08/2022
3.282,22/08/2022
3.256,19/08/2022
3.243,18/08/2022
3.259,17/08/2022
3.273,16/08/2022
3.265,15/08/2022
3.241,12/08/2022
3.259,11/08/2022
3.291,10/08/2022
3.307,09/08/2022
3.327,08/08/2022
3.335,05/08/2022
3.35,04/08/2022
3.366,03/08/2022
3.367,02/08/2022
3.382,01/08/2022
3.391,29/07/2022
3.433,28/07/2022
3.427,27/07/2022
3.445,26/07/2022
3.44,25/07/2022
3.441,22/07/2022
3.455,21/07/2022
3.447,20/07/2022
3.435,19/07/2022
3.455,18/07/2022
3.482,15/07/2022
3.472,14/07/2022
3.47,13/07/2022
3.484,12/07/2022
3.474,11/07/2022
3.48,08/07/2022
3.491,07/07/2022
3.513,06/07/2022
3.519,05/07/2022
3.496,04/07/2022
3.526,01/07/2022
3.5,30/06/2022
3.45,29/06/2022
3.436,28/06/2022
3.397,27/06/2022
3.442,24/06/2022
3.447,23/06/2022
3.464,22/06/2022
3.454,21/06/2022
3.455,20/06/2022
3.46,17/06/2022
3.463,16/06/2022
3.454,15/06/2022
3.446,14/06/2022
3.44,13/06/2022
3.375,10/06/2022
3.338,09/06/2022
3.339,08/06/2022
3.338,07/06/2022
3.332,06/06/2022
3.34,02/06/2022
3.325,01/06/2022
3.338,31/05/2022
3.316,30/05/2022
3.355,27/05/2022
3.363,26/05/2022
3.359,25/05/2022
3.349,24/05/2022
3.356,23/05/2022
3.359,20/05/2022
3.391,19/05/2022
3.354,18/05/2022
3.363,17/05/2022
3.419,16/05/2022
3.412,13/05/2022
3.466,12/05/2022
3.425,11/05/2022
3.463,10/05/2022
3.438,09/05/2022
3.419,06/05/2022
3.356,04/05/2022
3.369,03/05/2022
3.352,02/05/2022
3.317,29/04/2022
3.32,28/04/2022
3.325,27/04/2022
3.292,26/04/2022
3.291,25/04/2022
3.217,21/04/2022
3.235,20/04/2022
3.236,19/04/2022
3.199,14/04/2022
3.207,13/04/2022
3.215,12/04/2022
3.211,11/04/2022
3.225,08/04/2022
3.228,07/04/2022
3.225,06/04/2022
3.205,05/04/2022
3.209,04/04/2022
3.203,01/04/2022
3.176,31/03/2022
3.188,30/03/2022
3.217,29/03/2022
3.222,28/03/2022
3.223,25/03/2022
3.221,24/03/2022
3.231,23/03/2022
3.225,22/03/2022
3.239,21/03/2022
3.263,16/03/2022
3.287,15/03/2022
3.268,14/03/2022
3.264,11/03/2022
3.271,10/03/2022
3.284,09/03/2022
3.3,08/03/2022
3.282,07/03/2022
3.245,04/03/2022
3.24,03/03/2022
3.233,02/03/2022
3.23,01/03/2022
3.238,28/02/2022
3.259,25/02/2022
3.271,24/02/2022
3.223,23/02/2022
3.219,22/02/2022
3.21,21/02/2022
3.193,18/02/2022
3.189,17/02/2022
3.183,16/02/2022
3.225,15/02/2022
3.262,14/02/2022
3.235,11/02/2022
3.221,10/02/2022
3.216,09/02/2022
3.224,08/02/2022
3.195,07/02/2022
3.199,04/02/2022
3.186,03/02/2022
3.16,02/02/2022
3.169,01/02/2022
3.195,31/01/2022
3.196,28/01/2022
3.196,27/01/2022
3.176,26/01/2022
3.183,25/01/2022
3.167,24/01/2022
3.14,21/01/2022
3.134,20/01/2022
3.125,19/01/2022
3.124,18/01/2022
3.105,17/01/2022
3.111,14/01/2022
3.117,13/01/2022
3.112,12/01/2022
3.127,11/01/2022
3.116,10/01/2022
3.109,07/01/2022
3.109,06/01/2022
3.093,05/01/2022
3.094,04/01/2022
3.092,03/01/2022
3.11,31/12/2021
3.11,30/12/2021
3.111,29/12/2021
3.111,28/12/2021
3.136,27/12/2021
3.149,24/12/2021
3.15,23/12/2021
3.165,22/12/2021
3.164,21/12/2021
3.152,20/12/2021
3.115,17/12/2021
3.106,16/12/2021
3.135,15/12/2021
3.113,14/12/2021
3.101,13/12/2021
3.103,10/12/2021
3.104,09/12/2021
3.111,08/12/2021
3.155,07/12/2021
3.161,06/12/2021
3.156,03/12/2021
3.168,02/12/2021
3.15,01/12/2021
3.162,30/11/2021
3.157,29/11/2021
3.181,26/11/2021
3.157,25/11/2021
3.168,24/11/2021
3.11,23/11/2021
3.089,22/11/2021
3.087,19/11/2021
3.079,18/11/2021
3.074,17/11/2021
3.09,16/11/2021
3.102,15/11/2021
3.112,12/11/2021
3.12,11/11/2021
3.109,10/11/2021
3.106,09/11/2021
3.103,08/11/2021
3.118,05/11/2021
3.125,04/11/2021
3.138,03/11/2021
3.13,02/11/2021
3.134,01/11/2021
3.158,29/10/2021
3.185,28/10/2021
3.191,27/10/2021
3.201,26/10/2021
3.206,25/10/2021
3.211,22/10/2021
3.211,21/10/2021
3.215,20/10/2021
3.212,19/10/2021
3.229,18/10/2021
3.219,15/10/2021
3.221,14/10/2021
3.235,13/10/2021
