EUR,DATE
3.753,30/12/2022
3.757,29/12/2022
3.752,28/12/2022
3.74,27/12/2022
3.706,23/12/2022
3.693,22/12/2022
3.695,21/12/2022
3.675,20/12/2022
3.651,19/12/2022
3.672,16/12/2022
3.636,15/12/2022
3.63,14/12/2022
3.619,13/12/2022
3.621,12/12/2022
3.612,09/12/2022
3.619,08/12/2022
3.624,07/12/2022
3.58,06/12/2022
3.579,05/12/2022
3.561,02/12/2022
3.567,01/12/2022
3.564,30/11/2022
3.561,29/11/2022
3.601,28/11/2022
3.556,25/11/2022
3.558,24/11/2022
3.565,23/11/2022
3.567,22/11/2022
3.548,21/11/2022
3.597,18/11/2022
3.576,17/11/2022
3.562,16/11/2022
3.58,15/11/2022
3.533,14/11/2022
3.54,11/11/2022
3.545,10/11/2022
3.565,09/11/2022
3.533,08/11/2022
3.532,07/11/2022
3.485,04/11/2022
3.482,03/11/2022
3.501,02/11/2022
3.498,31/10/2022
3.526,28/10/2022
3.539,27/10/2022
3.511,26/10/2022
3.509,25/10/2022
3.497,24/10/2022
3.48,21/10/2022
3.473,20/10/2022
3.46,19/10/2022
3.477,18/10/2022
3.457,14/10/2022
3.471,13/10/2022
3.46,12/10/2022
3.477,11/10/2022
3.456,07/10/2022
3.498,06/10/2022
3.5,03/10/2022
3.486,30/09/2022
3.428,29/09/2022
3.385,28/09/2022
3.411,23/09/2022
3.427,22/09/2022
3.435,21/09/2022
3.441,20/09/2022
3.441,19/09/2022
3.431,16/09/2022
3.435,15/09/2022
3.433,14/09/2022
3.411,13/09/2022
3.439,12/09/2022
3.449,09/09/2022
3.432,08/09/2022
3.4,07/09/2022
3.394,06/09/2022
3.387,05/09/2022
3.372,02/09/2022
3.369,01/09/2022
3.335,31/08/2022
3.313,30/08/2022
3.318,29/08/2022
3.252,26/08/2022
3.281,25/08/2022
3.254,24/08/2022
3.257,23/08/2022
3.284,22/08/2022
3.285,19/08/2022
3.299,18/08/2022
3.313,17/08/2022
3.316,16/08/2022
3.33,15/08/2022
3.34,12/08/2022
3.369,11/08/2022
3.365,10/08/2022
3.383,09/08/2022
3.39,08/08/2022
3.41,05/08/2022
3.407,04/08/2022
3.431,03/08/2022
3.447,02/08/2022
3.464,01/08/2022
3.471,29/07/2022
3.478,28/07/2022
3.478,27/07/2022
3.489,26/07/2022
3.525,25/07/2022
3.505,22/07/2022
3.518,21/07/2022
3.517,20/07/2022
3.524,19/07/2022
3.501,18/07/2022
3.49,15/07/2022
3.479,14/07/2022
3.49,13/07/2022
3.497,12/07/2022
3.511,11/07/2022
3.518,08/07/2022
3.558,07/07/2022
3.582,06/07/2022
3.625,05/07/2022
3.657,04/07/2022
3.685,01/07/2022
3.636,30/06/2022
3.633,29/06/2022
3.635,28/06/2022
3.596,27/06/2022
3.623,24/06/2022
3.62,23/06/2022
3.644,22/06/2022
3.648,21/06/2022
3.637,20/06/2022
3.643,17/06/2022
3.6,16/06/2022
3.622,15/06/2022
3.594,14/06/2022
3.599,13/06/2022
3.583,10/06/2022
3.584,09/06/2022
3.585,08/06/2022
3.561,07/06/2022
3.574,06/06/2022
3.571,02/06/2022
3.563,01/06/2022
3.576,31/05/2022
3.573,30/05/2022
3.603,27/05/2022
3.605,26/05/2022
3.584,25/05/2022
3.585,24/05/2022
3.582,23/05/2022
3.549,20/05/2022
3.567,19/05/2022
3.524,18/05/2022
3.538,17/05/2022
3.565,16/05/2022
3.551,13/05/2022
3.619,12/05/2022
3.615,11/05/2022
3.656,10/05/2022
3.624,09/05/2022
3.588,06/05/2022
3.533,04/05/2022
3.541,03/05/2022
3.528,02/05/2022
3.513,29/04/2022
3.488,28/04/2022
3.521,27/04/2022
3.514,26/04/2022
3.529,25/04/2022
3.513,21/04/2022
3.5,20/04/2022
3.497,19/04/2022
3.492,14/04/2022
3.476,13/04/2022
3.493,12/04/2022
3.501,11/04/2022
3.506,08/04/2022
3.518,07/04/2022
3.521,06/04/2022
3.515,05/04/2022
3.531,04/04/2022
3.54,01/04/2022
3.524,31/03/2022
3.548,30/03/2022
3.553,29/03/2022
3.54,28/03/2022
3.55,25/03/2022
3.54,24/03/2022
3.548,23/03/2022
3.549,22/03/2022
3.574,21/03/2022
3.587,16/03/2022
3.611,15/03/2022
3.581,14/03/2022
3.584,11/03/2022
3.612,10/03/2022
3.603,09/03/2022
3.599,08/03/2022
3.556,07/03/2022
3.577,04/03/2022
3.59,03/03/2022
3.589,02/03/2022
3.607,01/03/2022
3.627,28/02/2022
3.643,25/02/2022
3.65,24/02/2022
3.657,23/02/2022
3.653,22/02/2022
3.643,21/02/2022
3.631,18/02/2022
3.627,17/02/2022
3.624,16/02/2022
3.658,15/02/2022
3.687,14/02/2022
3.685,11/02/2022
3.683,10/02/2022
3.678,09/02/2022
3.68,08/02/2022
3.658,07/02/2022
3.668,04/02/2022
3.598,03/02/2022
3.575,02/02/2022
3.572,01/02/2022
3.565,31/01/2022
3.555,28/01/2022
3.567,27/01/2022
3.583,26/01/2022
3.589,25/01/2022
3.583,24/01/2022
3.561,21/01/2022
3.554,20/01/2022
3.543,19/01/2022
3.557,18/01/2022
3.544,17/01/2022
3.566,14/01/2022
3.572,13/01/2022
3.536,12/01/2022
3.546,11/01/2022
3.526,10/01/2022
3.517,07/01/2022
3.518,06/01/2022
3.498,05/01/2022
3.492,04/01/2022
3.51,03/01/2022
3.52,31/12/2021
3.522,30/12/2021
3.516,29/12/2021
3.525,28/12/2021
3.547,27/12/2021
3.571,24/12/2021
3.568,23/12/2021
3.578,22/12/2021
3.572,21/12/2021
3.552,20/12/2021
3.529,17/12/2021
3.509,16/12/2021
3.533,15/12/2021
3.523,14/12/2021
3.496,13/12/2021
3.503,10/12/2021
3.511,09/12/2021
3.513,08/12/2021
3.552,07/12/2021
3.57,06/12/2021
3.564,03/12/2021
3.594,02/12/2021
3.566,01/12/2021
3.59,30/11/2021
3.563,29/11/2021
3.582,26/11/2021
3.542,25/11/2021
3.552,24/11/2021
3.498,23/11/2021
3.484,22/11/2021
3.495,19/11/2021
3.494,18/11/2021
3.477,17/11/2021
3.514,16/11/2021
3.552,15/11/2021
3.562,12/11/2021
3.577,11/11/2021
3.592,10/11/2021
3.594,09/11/2021
3.589,08/11/2021
3.603,05/11/2021
3.61,04/11/2021
3.634,03/11/2021
3.63,02/11/2021
3.627,01/11/2021
3.686,29/10/2021
3.695,28/10/2021
3.702,27/10/2021
3.72,26/10/2021
3.726,25/10/2021
3.737,22/10/2021
3.738,21/10/2021
3.738,20/10/2021
3.746,19/10/2021
3.741,18/10/2021
3.735,15/10/2021
3.741,14/10/2021
3.741,13/10/2021
3.728,12/10/2021
3.735,11/10/2021
3.732,08/10/2021
3.732,07/10/2021
3.743,06/10/2021
3.744,05/10/2021
3.738,04/10/2021
3.739,01/10/2021
3.736,30/09/2021
3.745,29/09/2021
3.745,27/09/2021
3.756,24/09/2021
3.75,23/09/2021
3.763,22/09/2021
3.762,20/09/2021
3.778,17/09/2021
3.791,14/09/2021
3.775,13/09/2021
3.79,10/09/2021
3.79,09/09/2021
3.807,03/09/2021
3.802,02/09/2021
3.784,01/09/2021
3.797,31/08/2021
3.799,30/08/2021
3.801,27/08/2021
3.793,26/08/2021
3.791,25/08/2021
3.777,24/08/2021
3.785,23/08/2021
3.79,20/08/2021
3.794,19/08/2021
3.795,18/08/2021
3.795,17/08/2021
3.787,16/08/2021
3.784,13/08/2021
3.781,12/08/2021
3.77,11/08/2021
3.784,10/08/2021
3.788,09/08/2021
3.804,06/08/2021
3.806,05/08/2021
3.809,04/08/2021
3.824,03/08/2021
3.836,02/08/2021
3.849,30/07/2021
3.852,29/07/2021
3.84,28/07/2021
3.843,27/07/2021
3.849,26/07/2021
3.853,23/07/2021
3.857,22/07/2021
3.877,21/07/2021
3.884,20/07/2021
3.88,19/07/2021
3.873,16/07/2021
3.857,15/07/2021
3.87,14/07/2021
3.883,13/07/2021
3.892,12/07/2021
3.879,09/07/2021
3.878,08/07/2021
3.864,07/07/2021
3.866,06/07/2021
3.876,05/07/2021
3.871,02/07/2021
3.871,01/07/2021
3.875,30/06/2021
3.88,29/06/2021
3.882,28/06/2021
3.876,25/06/2021
3.886,24/06/2021
3.888,23/06/2021
3.879,22/06/2021
3.886,21/06/2021
3.89,18/06/2021
3.891,17/06/2021
3.924,16/06/2021
3.927,15/06/2021
3.936,14/06/2021
3.949,11/06/2021
3.947,10/06/2021
3.956,09/06/2021
3.951,08/06/2021
3.952,07/06/2021
3.946,04/06/2021
3.962,03/06/2021
3.962,02/06/2021
3.958,01/06/2021
3.969,28/05/2021
3.963,27/05/2021
3.973,26/05/2021
3.973,25/05/2021
3.98,24/05/2021
3.979,21/05/2021
3.98,20/05/2021
3.985,19/05/2021
4,18/05/2021
3.975,14/05/2021
3.976,13/05/2021
3.975,12/05/2021
3.996,11/05/2021
3.955,10/05/2021
3.939,07/05/2021
3.931,06/05/2021
3.924,05/05/2021
3.905,04/05/2021
3.912,03/05/2021
3.927,30/04/2021
3.935,29/04/2021
3.923,28/04/2021
3.915,27/04/2021
3.915,26/04/2021
3.924,23/04/2021
3.933,22/04/2021
3.911,21/04/2021
3.921,20/04/2021
3.929,19/04/2021
3.927,16/04/2021
3.934,14/04/2021
3.929,13/04/2021
3.919,12/04/2021
3.906,09/04/2021
3.899,08/04/2021
3.925,07/04/2021
3.908,06/04/2021
3.904,05/04/2021
3.912,01/04/2021
3.913,31/03/2021
3.907,30/03/2021
3.933,29/03/2021
3.919,26/03/2021
3.908,25/03/2021
3.899,24/03/2021
3.939,22/03/2021
3.924,19/03/2021
3.94,18/03/2021
3.913,17/03/2021
3.943,16/03/2021
3.949,15/03/2021
3.956,12/03/2021
3.952,11/03/2021
3.95,10/03/2021
3.963,09/03/2021
3.958,08/03/2021
3.957,05/03/2021
3.984,04/03/2021
3.966,03/03/2021
3.968,02/03/2021
3.983,01/03/2021
4.012,25/02/2021
3.97,24/02/2021
3.967,23/02/2021
3.966,22/02/2021
3.965,19/02/2021
3.942,18/02/2021
3.929,17/02/2021
3.937,16/02/2021
3.935,15/02/2021
3.935,12/02/2021
3.951,11/02/2021
3.943,10/02/2021
3.943,09/02/2021
3.949,08/02/2021
3.937,05/02/2021
3.956,04/02/2021
3.968,03/02/2021
3.97,02/02/2021
3.971,01/02/2021
3.987,29/01/2021
3.986,28/01/2021
3.954,27/01/2021
3.967,26/01/2021
3.969,25/01/2021
3.987,22/01/2021
